LEMMA	FREQUENCY	RANGE	UDP
זו	2,012.55	38399	279,356.01
והיי	2,006.58	36676	267,355.76
כמה	1,691.00	42552	266,855.79
גם	1,657.26	42702	258,224.80
אולי	1,630.97	42239	248,128.64
נראה	1,603.47	42564	247,930.02
בית	1,689.04	40888	239,606.95
כדי	1,580.41	41152	235,870.54
קרה	1,541.01	42161	234,080.20
דיבר	1,495.64	41648	228,461.87
פעם	1,479.18	42191	227,908.16
דרך	1,431.59	41924	217,772.03
כ	1,396.49	42075	215,809.23
באמת	1,443.69	41591	213,274.80
הגיע	1,383.15	41984	212,188.29
מן	1,342.58	42071	208,680.69
חייב	1,399.35	40994	205,875.28
אחר	1,319.13	41924	204,371.79
עוד	1,343.73	42041	203,716.90
יום	1,374.21	41382	203,492.76
פשוט	1,427.29	40438	202,151.77
תודה	1,390.71	40779	201,382.26
כי	1,431.30	38980	200,396.45
כבר	1,292.23	41870	196,833.94
ילד	1,478.80	39003	196,063.68
אהב	1,378.72	40244	195,979.56
חיים	1,325.23	41514	195,630.26
בן	1,397.82	40029	189,652.26
מישהו	1,230.50	40919	185,007.30
קיבל	1,258.75	40776	182,920.92
מאוד	1,249.26	40437	180,116.99
לפני	1,165.26	41249	177,825.48
אלה	1,205.87	38074	175,864.37
אף	1,156.10	40829	174,348.57
עד	1,126.08	41190	172,739.78
הרבה	1,109.41	41188	169,322.17
רגע	1,138.53	40784	167,602.20
שנה	1,131.09	39679	163,922.25
עדיין	1,074.35	40811	162,899.29
עצמו	1,058.48	41000	161,896.89
האם	1,301.20	31767	160,232.98
ניסה	1,041.05	40669	157,586.42
חזר	1,047.71	40579	155,734.53
מצא	1,067.02	39632	152,592.88
מקום	1,022.76	40314	152,190.76
מת	1,080.04	39030	151,080.12
איפה	1,029.43	38203	147,222.19
אלוהים	1,088.19	35618	146,740.38
אדם	1,032.75	38089	142,442.27
הצטער	983.47	38552	141,426.15
עבר	935.03	40252	140,794.43
הכיל	947.86	34316	139,697.20
הבין	921.06	40099	138,979.22
חבר	964.33	38452	137,171.10
גדול	940.92	39208	136,557.19
איזה	924.60	39606	135,631.78
ממש	984.20	37369	135,556.18
בוא	946.82	38124	132,984.64
נתן	887.93	39452	132,919.69
קצת	904.88	38554	132,689.73
שמע	883.99	39499	132,389.87
עבודה	926.65	37349	131,496.42
הנה	911.68	38711	130,297.94
קדימה	1,026.32	34380	129,949.65
שני	871.35	39248	128,672.38
עזר	861.50	38806	125,101.16
יצא	838.60	39369	124,499.62
ובכן	974.64	27119	124,415.44
כש	819.06	38893	122,574.91
שוב	812.25	39393	121,475.41
לילה	873.88	35873	121,454.78
יד	840.78	37277	120,281.50
היום	831.50	37991	120,063.40
בדיוק	795.28	38931	118,899.34
אחת	795.49	39146	118,611.48
פה	924.87	32392	116,621.23
בבקשה	823.33	36882	116,224.18
הגיד	786.67	35355	113,058.11
אי	758.57	38291	111,108.95
קטן	767.54	37651	110,553.07
שום	755.65	36788	110,128.53
הרגיש	767.59	36977	108,848.61
אמא	862.25	26720	108,596.03
בטוח	731.46	38426	108,451.32
אפילו	721.87	38453	108,303.40
קשר	757.66	36266	107,386.86
קרא	722.63	37324	106,028.92
חדש	736.64	37387	105,906.04
תמיד	715.90	37943	105,650.60
אחרי	712.94	37831	105,300.02
אבא	820.11	29216	103,670.52
בשביל	732.76	35703	103,305.56
האמין	691.02	37080	100,444.06
בעיה	687.42	36380	99,810.93
הכיר	677.77	36335	99,235.94
התכוון	697.25	35138	98,459.83
סיפר	691.75	35660	97,955.32
מר	757.16	26570	95,214.18
שלום	694.08	34158	94,865.61
תן	653.40	35753	94,253.34
אה	813.58	22759	93,461.70
בטח	643.27	35618	92,057.76
כסף	701.11	28087	90,607.92
שעה	629.52	34939	90,469.46
עבד	615.84	35370	89,600.67
הביא	608.22	36660	89,451.10
מדי	605.77	34092	88,988.08
נמצא	624.10	34685	88,554.51
בגלל	627.50	33952	88,193.45
אחרון	597.58	36237	87,766.60
הרג	665.89	29925	87,503.76
ספר	650.41	32397	87,101.46
מוכן	595.09	35648	87,047.02
עניין	596.93	34716	86,003.11
לקח	566.91	35652	83,585.74
גרם	572.16	35168	83,370.70
גבר	616.60	31398	82,991.22
סיבה	587.32	34419	82,978.18
לב	578.66	34293	82,220.28
ראש	577.71	33647	81,881.27
אפשר	577.08	33563	81,809.19
שאל	548.02	34201	80,204.19
חברה	581.20	31444	79,229.20
עמד	532.42	34456	78,025.07
אכל	545.16	34354	77,965.88
חדר	562.65	31987	77,850.34
קשה	520.41	34923	76,722.92
אדוני	617.58	23260	76,519.32
התחיל	515.97	35015	76,507.15
רב	537.32	32606	75,953.11
הניח	518.51	33988	75,032.29
עולם	548.18	31680	75,017.87
נשאר	507.27	33880	73,774.10
תראה	517.75	31667	73,242.61
שב	492.98	34110	72,989.04
מקרה	506.88	32986	72,812.54
משפחה	539.47	29823	72,784.69
בוקר	511.84	30693	72,209.75
עזאזל	517.82	28613	69,812.27
כלום	480.33	31268	68,572.37
חוץ	468.18	32860	68,572.21
נכנס	466.72	33029	68,256.57
שבוע	475.15	30773	68,134.99
הו	560.98	17359	67,849.84
הכי	479.66	31255	67,765.96
אמור	462.96	33337	67,605.95
די	474.97	31259	67,154.39
חושב	479.44	28956	66,446.25
עסק	471.81	29969	66,443.09
חלק	453.04	32785	66,248.29
סוף	453.48	31625	65,679.31
בת	483.08	28383	65,290.77
ביותר	456.85	28965	64,134.84
עזב	438.85	31038	63,029.01
מצב	434.39	31396	62,470.12
זהו	456.73	28003	62,452.11
אינו	502.82	22002	62,360.35
שמר	419.67	31883	61,599.30
פנים	428.38	31491	61,479.32
בלי	425.60	31103	61,449.68
יפה	430.19	29667	61,276.12
חיפש	427.55	31018	61,268.16
הביתה	429.84	29329	60,905.53
עובד	417.59	30543	60,455.00
עבור	443.04	24695	60,153.44
בין	411.64	31121	59,891.76
רע	411.00	30810	59,707.99
הפך	412.11	30971	59,488.44
אמת	419.64	29720	59,396.20
כאילו	422.08	30119	59,394.22
אוקיי	499.98	11607	59,144.42
כמובן	410.97	29256	58,631.74
עיר	433.88	26088	57,827.31
הספיק	389.09	31940	57,607.73
אוכל	407.47	29281	57,359.32
מעולם	398.10	28830	57,351.62
השתמש	395.83	30709	57,198.31
שמח	400.63	30078	57,072.51
זכר	397.52	29885	56,908.95
המשיך	385.28	30977	56,696.83
דקה	394.64	28622	56,299.13
אמיתי	392.30	29258	56,195.03
העליי	399.75	24793	56,037.05
יחיד	380.58	31360	55,808.32
בעל	395.08	27783	55,099.53
נהדר	398.01	26285	54,808.89
אכפת	375.84	29977	54,622.15
קודם	369.46	31900	54,390.60
אלו	412.35	21603	54,342.83
תוכנית	398.15	26625	54,262.49
כדאי	381.19	28723	54,141.97
משחק	418.83	24065	53,994.07
חשוב	364.04	29954	53,320.25
ביקש	367.36	28968	53,226.56
נעשה	363.45	30093	53,192.10
נשמע	360.32	30269	52,698.89
מכונית	406.22	21273	52,631.30
לעולם	367.12	28630	52,465.45
מספר	375.71	25912	52,401.84
סליחה	375.07	25859	51,849.38
נחמד	361.55	27659	51,636.20
התקשר	366.95	25533	51,491.69
עין	355.23	28544	51,095.14
קיווה	339.39	29695	49,882.57
סיפור	359.30	26111	49,756.49
שאלה	346.90	27781	49,697.00
בחור	353.18	25592	49,550.29
חכה	353.50	25911	49,428.77
קרוב	334.26	29164	49,081.52
שינה	333.20	29600	48,874.52
הפסיק	332.59	28808	48,461.70
לעזאזל	354.18	24177	48,195.05
הודה	338.13	26896	48,159.38
כתב	352.64	23615	48,051.14
עלה	327.08	28020	48,007.14
מהר	336.87	27051	47,727.53
מוות	348.60	24487	47,473.71
אופן	327.33	26925	47,198.15
טלפון	344.31	22700	46,849.00
ישן	324.50	27460	46,580.60
תרא	329.43	25651	46,288.16
מחר	325.52	25269	46,192.82
לאן	319.10	27273	46,008.24
בכלל	314.78	27698	45,909.59
אך	385.52	15600	45,620.53
כוח	340.59	23354	45,303.74
רעיון	312.93	26575	45,051.22
לגבי	325.87	23852	45,041.46
ילך	305.77	27026	44,598.31
עצר	313.61	26180	44,452.62
מוזר	313.45	25833	44,201.31
ללא	318.60	24590	44,127.48
מזל	305.24	26640	44,048.49
הצליח	305.24	25896	43,439.64
שנייה	302.19	26144	43,406.72
צדק	298.74	27334	43,322.78
גברת	331.04	20248	43,306.13
חיכה	295.03	27476	43,261.38
נוסף	303.43	25572	43,229.02
דלת	312.74	24076	43,186.33
אח	321.28	22129	43,183.74
חזרה	303.50	25849	43,145.96
חודש	301.43	24849	43,056.36
מתי	293.94	26975	42,811.45
חזק	298.58	25977	42,649.30
משטרה	323.01	18340	42,102.91
במקום	284.12	27901	42,077.75
סוג	294.47	24733	41,865.95
שיחק	302.95	23577	41,797.36
למד	294.15	24951	41,691.19
שלח	291.17	25495	41,631.27
חץ	288.29	25677	41,610.97
אחי	329.83	17859	41,573.60
דם	320.20	20297	41,477.92
חלה	310.72	21244	41,434.43
כמעט	281.40	27109	41,434.30
צוות	310.61	21080	41,346.42
ברור	286.40	25902	41,332.36
ערב	296.13	23196	41,310.28
וה	279.53	26863	41,281.91
דולר	314.65	18338	41,161.75
בחר	282.89	26160	41,120.38
חי	284.29	25663	40,760.78
כלל	278.64	25929	40,627.30
החזיק	282.37	25545	40,626.24
בדק	285.13	24773	40,478.32
לאחר	287.91	23190	40,342.26
כנראה	280.36	24952	40,073.26
כדור	303.73	20345	40,010.80
רוח	288.02	23413	39,800.36
הבחור	286.50	22331	39,689.71
מאוחר	269.37	25779	39,409.18
השאיר	268.59	26619	39,389.70
קנה	277.93	23964	39,203.17
רצח	310.41	16162	39,051.82
הוציא	266.24	25538	38,662.52
איתך	262.46	25409	38,471.02
מבין	260.84	25479	38,133.04
סיים	257.89	25437	37,552.96
התראה	266.97	22837	37,500.68
פחד	267.35	22795	37,440.14
שלוש	263.61	22791	37,439.85
למעשה	264.72	23015	37,394.30
משרד	277.96	19641	37,341.92
ככה	261.25	23796	37,325.42
שילם	265.52	22382	37,304.84
כאשר	289.88	15772	37,203.37
גרוע	254.92	25267	36,893.79
כבוד	266.43	21817	36,857.39
הבטיח	255.29	24500	36,843.15
חסר	252.86	24559	36,622.96
תמונה	268.53	20845	36,579.12
מלא	248.01	25189	36,390.04
לכן	257.71	22825	36,356.69
לבד	253.05	24642	36,334.20
שוטר	290.24	14924	36,263.50
איבד	251.51	24396	36,235.05
נסע	264.57	20354	36,215.36
השיג	249.66	23811	35,891.45
לגמרי	251.39	23158	35,749.77
החוצה	252.68	22603	35,733.34
לפחות	241.21	25727	35,549.87
נ	242.49	24902	35,447.84
במשך	244.12	23392	35,168.03
פרק	246.34	27236	35,138.22
איתי	241.34	24239	35,115.36
חושבת	248.37	22479	34,933.82
פגע	245.53	23466	34,885.83
הת	238.73	24614	34,765.13
בחייך	250.63	20788	34,647.91
סרט	270.08	16423	34,209.10
שכח	234.51	23959	34,131.92
בבקש	236.31	23109	34,115.62
צעיר	242.48	21498	34,054.05
ישב	233.75	23369	33,963.80
בהחלט	236.73	22666	33,917.54
שונה	235.15	23096	33,823.17
קח	237.86	21743	33,700.21
א	246.98	20598	33,669.57
צריכה	242.19	21649	33,561.11
מעל	233.18	22991	33,324.40
קל	227.86	24171	33,263.27
מטה	240.09	20269	33,183.99
ותק	249.98	18007	33,124.56
לשם	225.19	24044	33,098.96
אהבה	249.54	18292	33,084.77
יחד	234.73	21633	33,047.58
קורה	230.18	23024	32,834.36
הקשיב	228.03	22621	32,779.88
אתמול	234.91	21452	32,769.90
מילה	229.60	22043	32,737.27
נקודה	231.75	21657	32,715.73
הכול	269.42	11674	32,670.68
צורה	229.16	22438	32,619.72
נגע	235.17	21069	32,512.80
בלתי	227.90	21790	32,316.19
מים	241.56	18838	32,195.27
למעלה	229.19	20843	32,169.08
מושג	222.77	23299	32,167.89
פתח	224.93	22423	32,150.08
נהג	228.98	20845	32,114.59
סתם	226.73	21609	32,045.04
היכן	249.05	16013	32,042.37
סלח	226.18	21207	31,969.96
הסתכל	221.65	22239	31,936.39
בתוך	224.12	21982	31,825.03
כוונה	219.25	23367	31,815.50
מייד	221.99	21960	31,754.50
מערכת	236.45	18981	31,750.62
נגמר	221.22	22750	31,673.90
הזדמנות	220.09	22444	31,575.73
תינוק	253.53	14886	31,544.58
הראה	216.72	22842	31,463.59
הערב	232.61	18671	31,374.79
עזרה	218.48	23031	31,327.98
אלא	215.41	22893	31,217.37
אתן	220.47	21524	31,029.50
סיכוי	216.52	22067	30,832.27
הפעם	211.44	23297	30,806.02
ניצח	225.98	19665	30,796.91
הציל	227.24	19759	30,788.14
נשק	231.36	18112	30,773.61
רופא	234.77	16659	30,569.07
שלושה	216.13	20973	30,552.98
י	217.36	20366	30,142.76
קול	224.59	17953	29,974.60
אוי	231.73	16449	29,966.62
כאב	216.83	19849	29,820.81
שתי	206.35	21679	29,695.86
אעשה	203.70	22636	29,539.90
כפי	210.91	19918	29,424.98
רציני	204.36	21409	29,310.72
הציע	205.25	21157	29,234.52
וואו	227.03	15605	29,183.80
כלא	224.46	15589	29,175.10
אדיר	218.21	17816	29,119.99
כלומר	219.69	16988	29,060.04
דין	226.93	14317	28,825.21
ביחד	208.36	19338	28,684.00
בעוד	200.88	21239	28,641.30
כרגע	205.01	19976	28,513.72
שיר	220.27	15685	28,468.29
מלחמה	222.93	14580	28,291.00
דעה	198.70	20700	28,162.33
כלב	222.64	14561	28,161.94
לפעמים	197.11	21002	28,138.62
כעת	223.23	14172	28,112.22
נעלם	202.86	19993	28,095.16
שיחה	200.39	19897	28,067.30
למען	200.50	19906	28,020.53
חמש	200.75	19160	27,981.72
רחוב	206.14	17507	27,813.91
נורא	198.72	19735	27,792.23
שניים	193.25	20788	27,652.46
מיוחד	196.17	20056	27,599.23
האליי	199.52	18630	27,555.89
ירד	192.70	20241	27,389.68
ודה	190.54	21077	27,347.06
קבוצה	209.25	15813	27,177.08
שאר	190.62	20718	27,160.26
זונה	207.61	15443	27,136.14
שכן	190.95	21089	27,135.19
נגד	196.68	18684	27,078.49
אלי	191.31	19944	26,985.67
יצר	197.48	18486	26,925.73
יופי	199.93	18075	26,916.58
ארץ	206.49	15669	26,750.94
מדינה	201.80	15768	26,725.20
תפס	189.40	20032	26,709.99
חוק	198.36	17001	26,665.18
גר	194.35	17985	26,457.55
החזיר	185.84	20104	26,053.44
גש	183.49	19488	25,872.35
אקדח	206.18	12963	25,829.10
שה	179.04	20798	25,746.59
מידע	194.28	16139	25,694.72
טיפל	182.77	19710	25,625.25
משפט	202.09	13243	25,502.57
גנב	189.43	17273	25,454.84
מסוגל	183.37	18869	25,425.40
תורגם	183.74	19872	25,182.90
ארוחה	182.99	18292	25,096.14
שקט	180.46	18622	25,074.92
צד	178.71	19226	24,993.82
אש	192.82	15071	24,903.81
מצטער	177.03	19572	24,824.49
אב	187.02	16121	24,752.28
ליד	173.76	20052	24,667.90
טעות	175.47	19445	24,620.91
פחות	172.52	19982	24,539.97
רגיל	173.06	19572	24,453.20
תיק	189.62	14271	24,444.04
גבוה	173.98	18756	24,392.46
מלך	207.75	9924	24,234.01
מדוע	192.68	12801	24,156.73
ניתן	171.44	18888	23,988.53
הגן	175.92	17830	23,933.98
הצלחה	169.09	19333	23,899.78
מספיק	167.51	20251	23,880.50
רכב	182.51	15119	23,842.73
כיוון	173.34	17992	23,836.28
פשע	183.46	14565	23,830.07
הורה	178.63	16310	23,742.47
הסכים	169.25	18770	23,706.65
הוריד	169.55	18273	23,499.72
לחץ	172.52	17264	23,480.23
דאג	169.20	18349	23,357.49
יכולת	166.59	19032	23,302.07
נפלא	174.49	16076	23,298.72
תדאג	164.66	19026	23,015.10
תחת	164.84	17993	22,927.89
הכין	165.99	18648	22,920.72
עץ	176.20	14898	22,901.55
הודעה	169.29	16692	22,803.00
חרא	184.92	11147	22,743.92
מוח	172.45	15815	22,731.49
מטרה	170.87	15951	22,708.94
גוף	170.08	16491	22,704.01
הא	178.76	12766	22,467.57
אצל	162.63	17589	22,416.64
מצחיק	163.76	16994	22,215.93
שנא	162.46	17318	22,179.80
לפ	160.76	17418	22,154.31
בגד	161.62	17232	22,057.70
סימן	162.60	16983	22,005.76
שווה	157.99	18112	21,964.90
קטע	164.09	16392	21,940.73
דוד	177.08	12007	21,892.81
עלול	158.56	17521	21,732.89
רוב	158.26	17127	21,717.56
כוכב	174.76	12372	21,684.59
העביר	155.94	17975	21,654.58
אפשרי	156.08	17658	21,533.04
פגישה	163.23	15003	21,525.77
אור	159.84	16257	21,492.34
מין	160.27	15961	21,412.36
ביי	167.40	12971	21,361.19
מנהל	163.33	14360	21,346.57
בנה	155.16	17246	21,258.71
ארוך	151.52	18330	21,245.24
זוכר	156.21	16942	21,175.54
תפקיד	158.07	15537	21,088.01
נעל	157.99	15835	21,039.47
ציפה	149.55	18426	20,981.28
מוקדם	149.54	18294	20,918.57
בקרוב	150.88	18039	20,845.83
מתוק	158.32	15261	20,818.09
הסביר	149.51	17836	20,770.69
אסור	152.51	16451	20,551.71
איתן	151.03	16540	20,453.49
לבש	151.09	16629	20,447.32
לפי	150.84	16438	20,426.84
מעבר	148.95	16944	20,415.67
דירה	160.75	13077	20,404.80
סם	166.80	10829	20,336.70
רחוק	147.68	17301	20,331.26
שתיים	151.05	15645	20,273.31
ניו	163.64	11132	20,272.95
בדיקה	158.91	13232	20,266.49
מאשר	145.52	17633	20,242.52
זוג	152.22	15370	20,178.23
עובדה	145.57	17294	20,159.08
הופיע	146.45	16743	20,067.84
אוויר	151.69	14943	20,004.89
החלטה	148.45	15978	20,004.06
זז	148.03	16105	19,943.30
גידי	149.70	15672	19,940.37
מעט	146.86	16294	19,918.81
כרטיס	153.30	13967	19,915.97
טיפש	147.63	16103	19,894.76
מפה	152.42	14189	19,813.95
שירות	148.24	15767	19,803.99
אישי	143.37	16623	19,654.34
ערך	143.65	16806	19,629.98
קיים	144.55	16353	19,591.61
שחור	151.78	13552	19,568.42
עורך	154.40	12270	19,564.62
זקוק	146.62	15699	19,544.02
בחורה	149.06	14657	19,543.95
התמודד	143.53	16712	19,517.27
נלחם	150.51	13749	19,341.28
מיטה	145.10	15212	19,256.18
הזמין	141.84	16304	19,217.46
מתחת	140.67	16600	19,147.46
מחדש	141.67	16186	19,137.04
אלך	139.13	17337	19,077.20
מפקד	169.23	6732	19,031.79
אימא	170.32	6297	18,948.91
המ	143.47	14494	18,834.71
הלו	145.96	13386	18,822.25
משך	137.63	16544	18,810.59
מהלך	140.43	15503	18,797.20
בערך	137.83	16236	18,769.03
חומר	143.05	14014	18,692.30
אית	135.28	17189	18,673.98
חלום	146.78	12785	18,651.13
שחרר	139.94	15146	18,509.63
בתור	137.75	15608	18,417.04
ברח	138.25	15514	18,392.03
שולחן	138.30	14963	18,390.26
הוטרף	136.60	15580	18,325.60
נפגש	134.66	16054	18,303.86
למרות	135.05	16043	18,296.82
צעד	136.83	15122	18,273.83
צוחק	140.05	13873	18,252.69
קפה	141.11	13261	18,171.09
שאמר	131.03	17308	18,158.57
מאחורי	132.70	16436	18,117.82
יחסים	137.74	13752	17,848.19
גב	139.40	12727	17,799.65
חג	154.76	7682	17,735.78
מס	144.25	10714	17,697.20
חדשות	132.52	15380	17,684.76
לבן	134.60	14048	17,672.25
נרגע	134.64	14117	17,651.29
ספק	130.46	15635	17,642.46
מושלם	131.33	15526	17,632.35
צהריים	131.93	14887	17,598.78
רשימה	136.18	13403	17,594.75
גמור	130.97	14927	17,456.99
יורק	143.43	9829	17,434.56
חשבון	131.59	14268	17,373.51
זכות	131.24	14256	17,366.56
שר	142.37	10350	17,362.96
ארבע	130.65	14298	17,328.25
התאים	127.22	16114	17,305.27
עלייך	131.93	14499	17,246.79
חם	129.91	14682	17,242.57
שלומך	130.64	13675	17,222.87
עתיד	133.23	13385	17,180.78
נפל	127.96	15183	17,180.54
ים	138.23	11409	17,121.31
הכניס	125.56	15835	17,079.77
ברוך	128.21	14984	17,074.61
טעם	127.69	15311	17,071.57
כיף	131.81	14072	17,065.65
נשיא	151.43	6364	17,038.40
תא	134.30	12524	16,978.58
סביבה	126.17	15259	16,969.43
נהנה	126.79	15334	16,940.34
חמוד	130.86	13620	16,890.01
רצינות	126.73	15123	16,885.75
קו	130.14	13233	16,876.31
קפטן	151.94	6009	16,848.27
תחנה	132.88	12378	16,835.83
מיליון	134.79	10942	16,820.80
תקשיב	127.70	14245	16,801.39
זקן	130.64	12838	16,747.65
הוביל	125.32	14940	16,687.58
מאה	126.35	14247	16,677.42
אמצע	122.43	15917	16,665.68
זכה	128.73	13316	16,657.83
משימה	135.30	11277	16,655.25
מותק	132.18	12259	16,611.76
סמך	125.34	14787	16,598.62
מטוס	140.52	8624	16,593.01
מיני	125.26	14421	16,494.92
אזור	127.80	13129	16,439.94
פנימה	123.61	14506	16,415.87
חנות	129.09	12676	16,402.96
פעולה	124.84	13885	16,366.53
שטח	127.03	13205	16,338.87
הרגל	123.80	14088	16,306.13
סבל	122.28	14809	16,303.65
תשובה	121.96	14878	16,263.69
אקח	119.79	15773	16,225.58
עשר	123.75	13697	16,197.07
תפסיק	123.12	13940	16,126.21
הזכיר	118.09	15934	16,081.89
נשא	121.55	13857	15,973.28
ן	118.91	15104	15,938.03
נקרא	118.08	15250	15,882.33
אבי	130.11	10450	15,857.54
מכר	121.68	13216	15,842.08
ראייה	126.22	11606	15,827.21
צא	122.33	13087	15,785.69
לתוך	119.92	14037	15,756.47
כה	123.13	12452	15,657.72
הצטרך	116.10	15287	15,646.91
החליט	116.23	14991	15,612.97
ביצע	119.32	13684	15,599.03
בניין	125.13	11215	15,544.10
מול	117.33	14323	15,530.03
קצר	115.08	15089	15,517.74
מחשב	129.25	9644	15,504.76
נעים	117.80	13761	15,494.13
במיוחד	114.45	15147	15,460.49
מלון	126.80	9865	15,419.08
המון	118.28	13256	15,360.30
אדום	120.91	11969	15,329.05
שן	115.04	15141	15,327.05
מוצא	114.63	14629	15,319.49
שייך	116.56	14040	15,313.17
הבחורה	120.11	12398	15,280.28
בצד	114.58	14506	15,262.39
ניסיון	114.03	14770	15,245.69
תרופה	126.29	10022	15,244.60
חקירה	125.22	10087	15,243.61
שש	117.74	12825	15,190.30
עשוי	117.16	13352	15,169.71
יחידה	119.76	12092	15,144.45
החליף	113.59	14641	15,130.44
התחלה	112.05	15161	15,125.40
גילה	113.89	14658	15,121.56
תוך	114.03	14170	15,109.20
חתיכה	115.55	13661	15,101.00
אתר	119.61	12246	15,089.12
נוח	113.84	14384	15,081.07
חתך	115.55	13556	15,078.73
צבע	118.29	12078	15,038.51
מצוין	117.77	12431	15,035.63
צורך	112.41	14581	14,963.92
אדון	124.45	9232	14,930.77
שער	119.87	11155	14,928.20
יקר	112.60	14095	14,892.74
העדיף	111.09	14882	14,882.73
ככל	111.53	14377	14,824.95
מסוכן	113.11	13987	14,810.44
חבל	112.44	13954	14,784.34
הגנה	116.55	12072	14,779.16
גיל	114.61	12759	14,774.09
הצטרף	111.71	14144	14,726.63
ישר	110.98	13788	14,712.58
שינוי	112.46	13717	14,706.12
דובר	114.53	12523	14,660.95
אראה	109.54	14588	14,608.22
הרס	111.16	14270	14,601.03
שותף	116.14	11556	14,592.88
תהי	111.41	13941	14,582.70
לכי	115.25	12188	14,577.24
אדמה	117.03	11340	14,570.31
ענה	109.98	14788	14,536.55
אחראי	111.20	13581	14,514.11
מסר	111.96	13107	14,511.56
קורבן	123.17	8406	14,461.35
סכנה	111.46	13566	14,457.71
פיטר	127.62	6788	14,451.25
הרשה	108.65	14105	14,425.88
זרק	110.00	13618	14,398.68
שיעור	114.08	11679	14,339.70
הדבר	108.74	14108	14,327.52
אידיוט	112.21	12174	14,296.85
מפני	117.21	10575	14,277.73
שליטה	109.77	13108	14,205.55
עונה	109.04	16314	14,204.99
אשר	116.53	9766	14,180.13
כלשהו	109.14	13207	14,169.95
אגיד	108.06	13702	14,149.72
סגר	107.96	13586	14,147.49
גדל	107.92	13562	14,142.58
מבט	107.36	13651	14,119.98
צפה	107.34	14047	14,115.97
הדה	108.86	13101	14,100.96
ספינה	127.94	5607	14,081.82
ניתוח	121.60	7930	14,079.55
אלף	114.09	10277	14,065.09
מהיר	107.88	13155	14,017.46
רמה	106.85	12815	13,822.44
תוצאה	107.69	12297	13,775.40
חכם	104.96	13425	13,732.00
פרטי	105.91	12665	13,679.34
השתנה	105.04	13421	13,674.09
מתנה	107.54	12112	13,647.45
ירה	109.72	10718	13,616.51
הפריע	103.19	13961	13,612.51
טיפול	109.18	10912	13,513.34
אמריקני	111.85	9337	13,508.98
שקר	105.60	12361	13,480.02
נושא	104.50	12484	13,473.45
מחלקה	108.70	10556	13,439.33
עוזב	102.84	13289	13,398.49
שמחה	103.53	13077	13,386.36
חייל	115.20	7859	13,371.59
מייקל	122.72	5053	13,346.81
ניהל	102.32	12930	13,344.14
חשבתי	100.66	14490	13,331.88
עקב	103.58	12874	13,327.30
הסתובב	101.50	13377	13,315.83
איי	116.05	7139	13,300.25
חופשי	102.71	12818	13,274.52
כלי	105.06	11784	13,260.23
צבא	111.92	8648	13,250.48
מועדון	110.87	8972	13,243.52
גמר	102.83	12307	13,210.04
מחיר	103.97	11950	13,204.80
הלוואה	101.61	13220	13,171.05
היקח	100.47	13467	13,160.30
ביטחון	103.94	11698	13,131.53
פעל	101.72	12705	13,110.08
הצעה	103.81	11235	13,030.21
לקוח	107.94	9252	12,987.38
תאונה	105.63	10322	12,944.52
מפתח	104.54	10730	12,935.46
לישון	100.94	12295	12,904.31
הגיוני	99.27	13055	12,859.74
מתוך	98.82	12809	12,816.10
לחלוטין	99.56	12506	12,798.11
אפשרות	98.89	12787	12,787.30
ודאי	104.29	9844	12,661.30
