LEMMA	RANK	DISPERSION	FREQUENCY	RANGE
קטן	133	570.58	767.54	86.64
שום	134	568.39	755.65	84.65
הרגיש	135	561.78	767.59	85.08
אמא	136	560.48	862.25	61.48
בטוח	137	559.73	731.46	88.42
אפילו	138	558.97	721.87	88.48
קשר	139	554.24	757.66	83.45
קרא	140	547.23	722.63	85.88
חדש	141	546.60	736.64	86.03
תמיד	142	545.28	715.90	87.31
אחרי	143	543.47	712.94	87.05
אבא	144	535.06	820.11	67.23
בשביל	145	533.18	732.76	82.15
האמין	146	518.41	691.02	85.32
בעיה	147	515.14	687.42	83.71
הכיר	148	512.17	677.77	83.61
התכוון	149	508.17	697.25	80.85
סיפר	150	505.56	691.75	82.05
מר	151	491.41	757.16	61.14
שלום	152	489.62	694.08	78.60
תן	153	486.46	653.40	82.27
אה	154	482.37	813.58	52.37
בטח	155	475.12	643.27	81.96
כסף	156	467.64	701.11	64.63
שעה	157	466.93	629.52	80.40
עבד	158	462.44	615.84	81.39
הביא	159	461.67	608.22	84.36
מדי	160	459.28	605.77	78.45
נמצא	161	457.04	624.10	79.81
בגלל	162	455.18	627.50	78.12
אחרון	163	452.98	597.58	83.38
הרג	164	451.62	665.89	68.86
ספר	165	449.54	650.41	74.55
מוכן	166	449.26	595.09	82.03
עניין	167	443.88	596.93	79.88
לקח	168	431.40	566.91	82.04
גרם	169	430.29	572.16	80.92
גבר	170	428.33	616.60	72.25
סיבה	171	428.26	587.32	79.20
לב	172	424.35	578.66	78.91
ראש	173	422.60	577.71	77.42
אפשר	174	422.23	577.08	77.23
שאל	175	413.95	548.02	78.70
חברה	176	408.91	581.20	72.35
עמד	177	402.70	532.42	79.28
אכל	178	402.39	545.16	79.05
חדר	179	401.80	562.65	73.60
קשה	180	395.98	520.41	80.36
אדוני	181	394.93	617.58	53.52
התחיל	182	394.86	515.97	80.57
רב	183	392.01	537.32	75.03
הניח	184	387.25	518.51	78.21
עולם	185	387.18	548.18	72.90
נשאר	186	380.76	507.27	77.96
תראה	187	378.02	517.75	72.87
שב	188	376.71	492.98	78.49
מקרה	189	375.80	506.88	75.90
משפחה	190	375.65	539.47	68.62
בוקר	191	372.69	511.84	70.63
עזאזל	192	360.31	517.82	65.84
כלום	193	353.91	480.33	71.95
חוץ	194	353.91	468.18	75.61
נכנס	195	352.28	466.72	76.00
שבוע	196	351.65	475.15	70.81
הו	197	350.18	560.98	39.94
הכי	198	349.75	479.66	71.92
אמור	199	348.92	462.96	76.71
די	200	346.59	474.97	71.93
חושב	201	342.94	479.44	66.63
עסק	202	342.92	471.81	68.96
חלק	203	341.92	453.04	75.44
סוף	204	338.98	453.48	72.77
בת	205	336.98	483.08	65.31
ביותר	206	331.01	456.85	66.65
עזב	207	325.30	438.85	71.42
מצב	208	322.42	434.39	72.24
זהו	209	322.32	456.73	64.44
אינו	210	321.85	502.82	50.63
שמר	211	317.92	419.67	73.36
פנים	212	317.30	428.38	72.46
בלי	213	317.15	425.60	71.57
יפה	214	316.26	430.19	68.26
חיפש	215	316.21	427.55	71.37
הביתה	216	314.34	429.84	67.49
עובד	217	312.02	417.59	70.28
עבור	218	310.46	443.04	56.82
בין	219	309.11	411.64	71.61
רע	220	308.16	411.00	70.89
הפך	221	307.03	412.11	71.26
אמת	222	306.55	419.64	68.39
כאילו	223	306.54	422.08	69.30
אוקיי	224	305.25	499.98	26.71
כמובן	225	302.61	410.97	67.32
עיר	226	298.46	433.88	60.03
הספיק	227	297.32	389.09	73.49
אוכל	228	296.04	407.47	67.38
מעולם	229	296.00	398.10	66.34
השתמש	230	295.21	395.83	70.66
שמח	231	294.56	400.63	69.21
זכר	232	293.72	397.52	68.77
המשיך	233	292.62	385.28	71.28
דקה	234	290.57	394.64	65.86
אמיתי	235	290.03	392.30	67.32
העליי	236	289.22	399.75	57.05
יחיד	237	288.04	380.58	72.16
בעל	238	284.38	395.08	63.93
נהדר	239	282.88	398.01	60.48
אכפת	240	281.91	375.84	68.98
קודם	241	280.72	369.46	73.40
אלו	242	280.47	412.35	49.71
תוכנית	243	280.06	398.15	61.26
כדאי	244	279.43	381.19	66.09
משחק	245	278.67	418.83	55.37
חשוב	246	275.19	364.04	68.92
ביקש	247	274.71	367.36	66.66
נעשה	248	274.53	363.45	69.24
נשמע	249	271.99	360.32	69.65
מכונית	250	271.64	406.22	48.95
לעולם	251	270.78	367.12	65.88
מספר	252	270.45	375.71	59.62
סליחה	253	267.60	375.07	59.50
נחמד	254	266.50	361.55	63.64
התקשר	255	265.76	366.95	58.75
עין	256	263.71	355.23	65.68
קיווה	257	257.45	339.39	68.33
סיפור	258	256.80	359.30	60.08
שאלה	259	256.49	346.90	63.92
בחור	260	255.74	353.18	58.89
חכה	261	255.11	353.50	59.62
קרוב	262	253.32	334.26	67.11
שינה	263	252.25	333.20	68.11
הפסיק	264	250.12	332.59	66.29
לעזאזל	265	248.74	354.18	55.63
הודה	266	248.56	338.13	61.89
כתב	267	248.00	352.64	54.34
עלה	268	247.77	327.08	64.47
מהר	269	246.33	336.87	62.24
מוות	270	245.02	348.60	56.35
אופן	271	243.60	327.33	61.95
טלפון	272	241.79	344.31	52.23
ישן	273	240.41	324.50	63.19
תרא	274	238.90	329.43	59.02
מחר	275	238.41	325.52	58.14
לאן	276	237.46	319.10	62.76
בכלל	277	236.95	314.78	63.73
אך	278	235.45	385.52	35.90
כוח	279	233.82	340.59	53.74
רעיון	280	232.52	312.93	61.15
לגבי	281	232.47	325.87	54.88
ילך	282	230.18	305.77	62.19
עצר	283	229.43	313.61	60.24
מוזר	284	228.13	313.45	59.44
ללא	285	227.75	318.60	56.58
מזל	286	227.34	305.24	61.30
הצליח	287	224.20	305.24	59.59
שנייה	288	224.03	302.19	60.16
צדק	289	223.60	298.74	62.90
גברת	290	223.51	331.04	46.59
חיכה	291	223.28	295.03	63.22
נוסף	292	223.11	303.43	58.84
דלת	293	222.89	312.74	55.40
אח	294	222.88	321.28	50.92
חזרה	295	222.68	303.50	59.48
חודש	296	222.22	301.43	57.18
מתי	297	220.96	293.94	62.07
חזק	298	220.12	298.58	59.77
משטרה	299	217.30	323.01	42.20
במקום	300	217.17	284.12	64.20
סוג	301	216.08	294.47	56.91
שיחק	302	215.72	302.95	54.25
למד	303	215.17	294.15	57.41
שלח	304	214.87	291.17	58.66
חץ	305	214.76	288.29	59.08
אחי	306	214.57	329.83	41.09
דם	307	214.07	320.20	46.70
חלה	308	213.85	310.72	48.88
כמעט	309	213.85	281.40	62.38
צוות	310	213.40	310.61	48.51
ברור	311	213.32	286.40	59.60
ערב	312	213.21	296.13	53.37
וה	313	213.06	279.53	61.81
דולר	314	212.44	314.65	42.20
בחר	315	212.23	282.89	60.19
חי	316	210.37	284.29	59.05
כלל	317	209.68	278.64	59.66
החזיק	318	209.68	282.37	58.78
בדק	319	208.91	285.13	57.00
לאחר	320	208.21	287.91	53.36
כנראה	321	206.82	280.36	57.42
כדור	322	206.50	303.73	46.81
רוח	323	205.42	288.02	53.87
הבחור	324	204.84	286.50	51.38
מאוחר	325	203.40	269.37	59.32
השאיר	326	203.30	268.59	61.25
קנה	327	202.33	277.93	55.14
רצח	328	201.55	310.41	37.19
הוציא	329	199.54	266.24	58.76
איתך	330	198.55	262.46	58.47
מבין	331	196.81	260.84	58.63
סיים	332	193.82	257.89	58.53
התראה	333	193.55	266.97	52.55
פחד	334	193.23	267.35	52.45
שלוש	335	193.23	263.61	52.44
למעשה	336	193.00	264.72	52.96
משרד	337	192.73	277.96	45.19
ככה	338	192.64	261.25	54.76
שילם	339	192.54	265.52	51.50
כאשר	340	192.01	289.88	36.29
גרוע	341	190.41	254.92	58.14
כבוד	342	190.23	266.43	50.20
הבטיח	343	190.15	255.29	56.37
חסר	344	189.02	252.86	56.51
תמונה	345	188.79	268.53	47.96
מלא	346	187.81	248.01	57.96
לכן	347	187.64	257.71	52.52
לבד	348	187.53	253.05	56.70
שוטר	349	187.16	290.24	34.34
איבד	350	187.01	251.51	56.14
נסע	351	186.91	264.57	46.83
השיג	352	185.24	249.66	54.79
לגמרי	353	184.51	251.39	53.29
החוצה	354	184.43	252.68	52.01
לפחות	355	183.48	241.21	59.20
נ	356	182.95	242.49	57.30
במשך	357	181.51	244.12	53.83
פרק	358	181.35	246.34	62.67
איתי	359	181.24	241.34	55.77
חושבת	360	180.30	248.37	51.72
פגע	361	180.05	245.53	54.00
הת	362	179.43	238.73	56.64
בחייך	363	178.82	250.63	47.83
סרט	364	176.56	270.08	37.79
שכח	365	176.16	234.51	55.13
בבקש	366	176.08	236.31	53.17
צעיר	367	175.76	242.48	49.47
ישב	368	175.29	233.75	53.77
בהחלט	369	175.05	236.73	52.15
שונה	370	174.57	235.15	53.14
קח	371	173.93	237.86	50.03
א	372	173.77	246.98	47.40
צריכה	373	173.21	242.19	49.81
מעל	374	171.99	233.18	52.90
קל	375	171.68	227.86	55.62
מטה	376	171.27	240.09	46.64
ותק	377	170.96	249.98	41.43
לשם	378	170.83	225.19	55.33
אהבה	379	170.76	249.54	42.09
יחד	380	170.56	234.73	49.78
קורה	381	169.46	230.18	52.98
הקשיב	382	169.18	228.03	52.05
אתמול	383	169.13	234.91	49.36
מילה	384	168.96	229.60	50.72
נקודה	385	168.85	231.75	49.83
הכול	386	168.62	269.42	26.86
צורה	387	168.36	229.16	51.63
נגע	388	167.80	235.17	48.48
בלתי	389	166.79	227.90	50.14
מים	390	166.16	241.56	43.35
למעלה	391	166.03	229.19	47.96
מושג	392	166.02	222.77	53.61
פתח	393	165.93	224.93	51.60
נהג	394	165.75	228.98	47.96
סתם	395	165.39	226.73	49.72
היכן	396	165.38	249.05	36.85
סלח	397	165.00	226.18	48.80
הסתכל	398	164.83	221.65	51.17
בתוך	399	164.25	224.12	50.58
כוונה	400	164.20	219.25	53.77
מייד	401	163.89	221.99	50.53
מערכת	402	163.87	236.45	43.68
נגמר	403	163.47	221.22	52.35
הזדמנות	404	162.97	220.09	51.64
תינוק	405	162.81	253.53	34.25
הראה	406	162.39	216.72	52.56
הערב	407	161.93	232.61	42.96
עזרה	408	161.69	218.48	52.99
אלא	409	161.12	215.41	52.68
אתן	410	160.15	220.47	49.53
סיכוי	411	159.13	216.52	50.78
הפעם	412	158.99	211.44	53.61
ניצח	413	158.95	225.98	45.25
הציל	414	158.90	227.24	45.47
נשק	415	158.83	231.36	41.68
רופא	416	157.77	234.77	38.33
שלושה	417	157.69	216.13	48.26
י	418	155.57	217.36	46.86
קול	419	154.70	224.59	41.31
אוי	420	154.66	231.73	37.85
כאב	421	153.91	216.83	45.67
שתי	422	153.26	206.35	49.88
אעשה	423	152.46	203.70	52.09
כפי	424	151.87	210.91	45.83
רציני	425	151.28	204.36	49.26
הציע	426	150.88	205.25	48.68
וואו	427	150.62	227.03	35.91
כלא	428	150.58	224.46	35.87
אדיר	429	150.29	218.21	40.99
כלומר	430	149.98	219.69	39.09
דין	431	148.77	226.93	32.94
ביחד	432	148.04	208.36	44.50
בעוד	433	147.82	200.88	48.87
כרגע	434	147.16	205.01	45.97
שיר	435	146.93	220.27	36.09
מלחמה	436	146.01	222.93	33.55
דעה	437	145.35	198.70	47.63
כלב	438	145.35	222.64	33.51
לפעמים	439	145.23	197.11	48.33
כעת	440	145.09	223.23	32.61
נעלם	441	145.00	202.86	46.00
שיחה	442	144.86	200.39	45.78
למען	443	144.62	200.50	45.80
חמש	444	144.42	200.75	44.09
רחוב	445	143.55	206.14	40.28
נורא	446	143.44	198.72	45.41
שניים	447	142.72	193.25	47.83
מיוחד	448	142.44	196.17	46.15
האליי	449	142.22	199.52	42.87
ירד	450	141.36	192.70	46.57
ודה	451	141.14	190.54	48.50
קבוצה	452	140.27	209.25	36.39
שאר	453	140.18	190.62	47.67
זונה	454	140.05	207.61	35.53
שכן	455	140.05	190.95	48.53
נגד	456	139.76	196.68	42.99
אלי	457	139.28	191.31	45.89
יצר	458	138.97	197.48	42.54
יופי	459	138.92	199.93	41.59
ארץ	460	138.07	206.49	36.05
מדינה	461	137.93	201.80	36.28
תפס	462	137.85	189.40	46.09
חוק	463	137.62	198.36	39.12
גר	464	136.55	194.35	41.38
החזיר	465	134.47	185.84	46.26
גש	466	133.53	183.49	44.84
אקדח	467	133.31	206.18	29.83
שה	468	132.88	179.04	47.86
מידע	469	132.61	194.28	37.14
טיפל	470	132.26	182.77	45.35
משפט	471	131.62	202.09	30.47
גנב	472	131.38	189.43	39.75
מסוגל	473	131.22	183.37	43.42
תורגם	474	129.97	183.74	45.73
ארוחה	475	129.52	182.99	42.09
שקט	476	129.42	180.46	42.85
צד	477	129.00	178.71	44.24
אש	478	128.53	192.82	34.68
מצטער	479	128.12	177.03	45.04
אב	480	127.75	187.02	37.09
ליד	481	127.31	173.76	46.14
טעות	482	127.07	175.47	44.74
פחות	483	126.65	172.52	45.98
רגיל	484	126.21	173.06	45.04
תיק	485	126.16	189.62	32.84
גבוה	486	125.89	173.98	43.16
מלך	487	125.08	207.75	22.84
מדוע	488	124.68	192.68	29.46
ניתן	489	123.81	171.44	43.46
הגן	490	123.53	175.92	41.03
הצלחה	491	123.35	169.09	44.49
מספיק	492	123.25	167.51	46.60
רכב	493	123.06	182.51	34.79
כיוון	494	123.02	173.34	41.40
פשע	495	122.99	183.46	33.51
הורה	496	122.54	178.63	37.53
הסכים	497	122.35	169.25	43.19
הוריד	498	121.29	169.55	42.05
לחץ	499	121.19	172.52	39.72
דאג	500	120.55	169.20	42.22
יכולת	501	120.27	166.59	43.79
נפלא	502	120.25	174.49	36.99
תדאג	503	118.78	164.66	43.78
תחת	504	118.33	164.84	41.40
הכין	505	118.30	165.99	42.91
עץ	506	118.20	176.20	34.28
הודעה	507	117.69	169.29	38.41
חרא	508	117.38	184.92	25.65
מוח	509	117.32	172.45	36.39
מטרה	510	117.20	170.87	36.70
גוף	511	117.18	170.08	37.95
הא	512	115.96	178.76	29.37
אצל	513	115.70	162.63	40.47
מצחיק	514	114.66	163.76	39.10
שנא	515	114.47	162.46	39.85
לפ	516	114.34	160.76	40.08
בגד	517	113.84	161.62	39.65
סימן	518	113.58	162.60	39.08
שווה	519	113.36	157.99	41.68
קטע	520	113.24	164.09	37.72
דוד	521	112.99	177.08	27.63
עלול	522	112.17	158.56	40.32
רוב	523	112.09	158.26	39.41
כוכב	524	111.92	174.76	28.47
העביר	525	111.76	155.94	41.36
אפשרי	526	111.14	156.08	40.63
פגישה	527	111.10	163.23	34.52
אור	528	110.93	159.84	37.41
מין	529	110.51	160.27	36.73
ביי	530	110.25	167.40	29.85
מנהל	531	110.17	163.33	33.04
בנה	532	109.72	155.16	39.68
ארוך	533	109.65	151.52	42.18
זוכר	534	109.29	156.21	38.98
תפקיד	535	108.84	158.07	35.75
נעל	536	108.59	157.99	36.44
ציפה	537	108.29	149.55	42.40
מוקדם	538	107.96	149.54	42.09
בקרוב	539	107.59	150.88	41.51
מתוק	540	107.45	158.32	35.12
הסביר	541	107.20	149.51	41.04
אסור	542	106.07	152.51	37.85
איתן	543	105.56	151.03	38.06
לבש	544	105.53	151.09	38.26
לפי	545	105.43	150.84	37.82
מעבר	546	105.37	148.95	38.99
דירה	547	105.31	160.75	30.09
סם	548	104.96	166.80	24.92
רחוק	549	104.93	147.68	39.81
שתיים	550	104.63	151.05	36.00
ניו	551	104.63	163.64	25.61
בדיקה	552	104.60	158.91	30.45
מאשר	553	104.47	145.52	40.57
זוג	554	104.14	152.22	35.37
עובדה	555	104.04	145.57	39.79
הופיע	556	103.57	146.45	38.53
אוויר	557	103.25	151.69	34.38
החלטה	558	103.24	148.45	36.77
זז	559	102.93	148.03	37.06
גידי	560	102.92	149.70	36.06
מעט	561	102.80	146.86	37.49
כרטיס	562	102.79	153.30	32.14
טיפש	563	102.68	147.63	37.05
מפה	564	102.26	152.42	32.65
שירות	565	102.21	148.24	36.28
אישי	566	101.44	143.37	38.25
ערך	567	101.31	143.65	38.67
קיים	568	101.12	144.55	37.63
שחור	569	101.00	151.78	31.18
עורך	570	100.98	154.40	28.23
זקוק	571	100.87	146.62	36.12
בחורה	572	100.87	149.06	33.73
התמודד	573	100.73	143.53	38.45
נלחם	574	99.82	150.51	31.64
מיטה	575	99.38	145.10	35.00
הזמין	576	99.18	141.84	37.52
מתחת	577	98.82	140.67	38.20
מחדש	578	98.77	141.67	37.24
אלך	579	98.46	139.13	39.89
מפקד	580	98.23	169.23	15.49
אימא	581	97.80	170.32	14.49
המ	582	97.21	143.47	33.35
הלו	583	97.14	145.96	30.80
משך	584	97.08	137.63	38.07
מהלך	585	97.02	140.43	35.67
בערך	586	96.87	137.83	37.36
חומר	587	96.47	143.05	32.25
אית	588	96.38	135.28	39.55
חלום	589	96.26	146.78	29.42
שחרר	590	95.53	139.94	34.85
בתור	591	95.05	137.75	35.91
ברח	592	94.92	138.25	35.70
שולחן	593	94.91	138.30	34.43
הוטרף	594	94.58	136.60	35.85
נפגש	595	94.47	134.66	36.94
למרות	596	94.43	135.05	36.92
צעד	597	94.31	136.83	34.80
צוחק	598	94.20	140.05	31.92
קפה	599	93.78	141.11	30.51
שאמר	600	93.72	131.03	39.83
מאחורי	601	93.51	132.70	37.82
יחסים	602	92.12	137.74	31.64
גב	603	91.87	139.40	29.29
חג	604	91.54	154.76	17.68
מס	605	91.34	144.25	24.65
חדשות	606	91.27	132.52	35.39
לבן	607	91.21	134.60	32.32
נרגע	608	91.10	134.64	32.48
ספק	609	91.06	130.46	35.98
מושלם	610	91.00	131.33	35.73
צהריים	611	90.83	131.93	34.26
רשימה	612	90.81	136.18	30.84
גמור	613	90.10	130.97	34.35
יורק	614	89.98	143.43	22.62
חשבון	615	89.67	131.59	32.83
זכות	616	89.63	131.24	32.80
שר	617	89.61	142.37	23.82
ארבע	618	89.43	130.65	32.90
התאים	619	89.32	127.22	37.08
עלייך	620	89.01	131.93	33.36
חם	621	88.99	129.91	33.78
שלומך	622	88.89	130.64	31.47
עתיד	623	88.67	133.23	30.80
נפל	624	88.67	127.96	34.94
ים	625	88.37	138.23	26.25
הכניס	626	88.15	125.56	36.44
ברוך	627	88.12	128.21	34.48
טעם	628	88.11	127.69	35.23
כיף	629	88.08	131.81	32.38
נשיא	630	87.94	151.43	14.64
תא	631	87.63	134.30	28.82
סביבה	632	87.58	126.17	35.11
נהנה	633	87.43	126.79	35.28
חמוד	634	87.17	130.86	31.34
רצינות	635	87.15	126.73	34.80
קו	636	87.10	130.14	30.45
קפטן	637	86.96	151.94	13.83
תחנה	638	86.89	132.88	28.48
מיליון	639	86.81	134.79	25.18
תקשיב	640	86.71	127.70	32.78
זקן	641	86.44	130.64	29.54
הוביל	642	86.13	125.32	34.38
מאה	643	86.07	126.35	32.78
אמצע	644	86.01	122.43	36.63
זכה	645	85.97	128.73	30.64
משימה	646	85.96	135.30	25.95
מותק	647	85.74	132.18	28.21
סמך	648	85.67	125.34	34.03
מטוס	649	85.64	140.52	19.84
מיני	650	85.13	125.26	33.18
אזור	651	84.85	127.80	30.21
פנימה	652	84.72	123.61	33.38
חנות	653	84.66	129.09	29.17
פעולה	654	84.47	124.84	31.95
שטח	655	84.33	127.03	30.38
הרגל	656	84.16	123.80	32.42
סבל	657	84.15	122.28	34.08
תשובה	658	83.94	121.96	34.23
אקח	659	83.74	119.79	36.29
עשר	660	83.60	123.75	31.52
תפסיק	661	83.23	123.12	32.08
הזכיר	662	83.00	118.09	36.66
נשא	663	82.44	121.55	31.89
ן	664	82.26	118.91	34.75
נקרא	665	81.97	118.08	35.09
אבי	666	81.84	130.11	24.05
מכר	667	81.76	121.68	30.41
ראייה	668	81.69	126.22	26.71
צא	669	81.47	122.33	30.11
לתוך	670	81.32	119.92	32.30
כה	671	80.81	123.13	28.65
הצטרך	672	80.76	116.10	35.18
החליט	673	80.58	116.23	34.49
ביצע	674	80.51	119.32	31.49
בניין	675	80.23	125.13	25.81
מול	676	80.15	117.33	32.96
קצר	677	80.09	115.08	34.72
מחשב	678	80.02	129.25	22.19
נעים	679	79.97	117.80	31.66
במיוחד	680	79.79	114.45	34.85
מלון	681	79.58	126.80	22.70
המון	682	79.28	118.28	30.50
אדום	683	79.12	120.91	27.54
שן	684	79.11	115.04	34.84
מוצא	685	79.07	114.63	33.66
שייך	686	79.03	116.56	32.31
הבחורה	687	78.86	120.11	28.53
בצד	688	78.77	114.58	33.38
ניסיון	689	78.69	114.03	33.99
תרופה	690	78.68	126.29	23.06
חקירה	691	78.67	125.22	23.21
שש	692	78.40	117.74	29.51
עשוי	693	78.29	117.16	30.72
יחידה	694	78.16	119.76	27.82
החליף	695	78.09	113.59	33.69
התחלה	696	78.06	112.05	34.89
גילה	697	78.04	113.89	33.73
תוך	698	77.98	114.03	32.61
חתיכה	699	77.94	115.55	31.43
אתר	700	77.88	119.61	28.18
נוח	701	77.84	113.84	33.10
חתך	702	77.82	115.55	31.19
צבע	703	77.62	118.29	27.79
מצוין	704	77.60	117.77	28.60
צורך	705	77.23	112.41	33.55
אדון	706	77.06	124.45	21.24
שער	707	77.05	119.87	25.67
יקר	708	76.86	112.60	32.43
העדיף	709	76.81	111.09	34.24
ככל	710	76.51	111.53	33.08
מסוכן	711	76.44	113.11	32.18
חבל	712	76.30	112.44	32.11
הגנה	713	76.28	116.55	27.78
גיל	714	76.25	114.61	29.36
הצטרף	715	76.01	111.71	32.55
ישר	716	75.93	110.98	31.73
שינוי	717	75.90	112.46	31.56
דובר	718	75.67	114.53	28.82
אראה	719	75.40	109.54	33.57
הרס	720	75.36	111.16	32.84
שותף	721	75.32	116.14	26.59
תהי	722	75.26	111.41	32.08
לכי	723	75.24	115.25	28.04
אדמה	724	75.20	117.03	26.09
ענה	725	75.03	109.98	34.03
אחראי	726	74.91	111.20	31.25
מסר	727	74.90	111.96	30.16
קורבן	728	74.64	123.17	19.34
סכנה	729	74.62	111.46	31.22
פיטר	730	74.59	127.62	15.62
הרשה	731	74.45	108.65	32.46
זרק	732	74.31	110.00	31.34
שיעור	733	74.01	114.08	26.87
הדבר	734	73.95	108.74	32.46
אידיוט	735	73.79	112.21	28.01
מפני	736	73.69	117.21	24.33
שליטה	737	73.32	109.77	30.16
עונה	738	73.31	109.04	37.54
אשר	739	73.19	116.53	22.47
כלשהו	740	73.13	109.14	30.39
אגיד	741	73.03	108.06	31.53
סגר	742	73.02	107.96	31.26
