LEMMA	RANK	DISPERSION	FREQUENCY	RANGE
מוטב	1471	27.94	48.58	13.00
מעולה	1472	27.93	47.41	15.55
ואשינגטון	1473	27.88	49.61	10.12
סגנון	1474	27.85	47.12	14.98
תתן	1475	27.82	46.88	16.02
הבדל	1476	27.82	46.43	16.22
צבאי	1477	27.82	48.87	11.63
נפש	1478	27.80	47.14	14.94
גברתי	1479	27.80	48.95	11.59
אהרג	1480	27.76	47.60	14.70
חור	1481	27.74	47.57	13.96
ליל	1482	27.72	48.80	11.82
יבש	1483	27.71	47.18	15.11
בובי	1484	27.71	52.38	4.95
העיף	1485	27.70	46.50	15.77
תחרות	1486	27.69	49.15	10.70
הזדיין	1487	27.68	48.57	11.05
עתה	1488	27.65	47.52	13.83
דו	1489	27.65	48.83	11.14
זוזה	1490	27.61	49.34	10.06
הלם	1491	27.58	46.74	15.19
פעיל	1492	27.56	46.99	14.96
נעצר	1493	27.54	46.59	15.29
טיפשי	1494	27.49	46.66	15.43
ישו	1495	27.48	49.06	9.67
מתקן	1496	27.47	48.45	12.15
עצבני	1497	27.46	46.43	15.41
סקוט	1498	27.46	51.39	6.15
הכריח	1499	27.45	46.29	16.34
בובה	1500	27.45	48.60	11.43
הוכרח	1501	27.44	48.19	12.57
שלושת	1502	27.44	46.43	15.14
חשבת	1503	27.40	45.70	17.17
תמך	1504	27.37	46.49	14.88
חלב	1505	27.30	47.73	12.41
ניצחון	1506	27.30	47.48	12.47
רבותיי	1507	27.29	47.41	12.15
לימודים	1508	27.29	46.93	13.51
זמני	1509	27.22	45.71	16.29
הארי	1510	27.20	50.99	5.47
במה	1511	27.16	47.46	11.68
עוצר	1512	27.14	45.79	15.53
שאעשה	1513	27.13	45.50	16.74
סוחר	1514	27.09	47.68	11.43
חגג	1515	27.08	45.94	15.21
אוניברסיטה	1516	27.07	47.26	11.65
נתה	1517	27.05	45.36	16.56
העניק	1518	26.98	46.14	14.59
פרח	1519	26.97	46.75	12.91
מכם	1520	26.96	45.36	16.15
טבע	1521	26.95	46.40	13.65
האט	1522	26.93	47.65	11.34
התנהגות	1523	26.90	45.65	14.98
טביעה	1524	26.86	48.04	10.39
דוגמה	1525	26.85	45.27	15.52
התנגד	1526	26.82	46.36	12.98
בלה	1527	26.81	47.63	10.86
ספורט	1528	26.80	46.71	12.47
קסם	1529	26.72	47.61	10.81
גורל	1530	26.71	46.71	12.67
מודאג	1531	26.70	44.87	15.85
נעדר	1532	26.69	46.94	12.58
הכנס	1533	26.65	46.04	13.52
רדף	1534	26.63	45.20	15.61
תיאר	1535	26.61	44.72	15.62
תפר	1536	26.60	45.46	14.60
אדבר	1537	26.55	44.55	16.24
רוברט	1538	26.53	48.74	7.24
נשימה	1539	26.52	45.87	13.44
אחריי	1540	26.51	45.14	15.16
אוו	1541	26.49	48.65	7.96
תהליך	1542	26.46	45.40	14.07
זרם	1543	26.41	45.55	13.46
ירייה	1544	26.39	46.13	12.03
לעתים	1545	26.35	44.53	15.03
רווח	1546	26.35	44.92	14.28
שימש	1547	26.35	44.75	15.03
מזרח	1548	26.30	45.60	12.60
קן	1549	26.25	45.61	12.93
לוחם	1550	26.24	47.04	10.19
דר	1551	26.21	48.93	6.45
הום	1552	26.18	47.09	9.45
מתאים	1553	26.17	44.05	15.75
מיטב	1554	26.15	44.15	15.60
חוף	1555	26.14	45.36	12.78
שטן	1556	26.12	46.69	10.23
דעת	1557	26.12	44.22	15.42
התעלם	1558	26.11	44.16	15.50
אמונה	1559	26.10	45.60	12.20
אות	1560	26.04	44.68	14.08
בחירות	1561	26.03	46.94	9.07
דחה	1562	26.00	44.08	15.22
הכרה	1563	25.97	44.45	14.52
קיבלתי	1564	25.89	45.58	12.05
קייל	1565	25.88	49.91	3.63
בילה	1566	25.86	43.62	16.01
המתין	1567	25.79	44.13	14.17
נחשב	1568	25.79	43.53	15.22
רגוע	1569	25.77	43.92	14.24
סונכרן	1570	25.76	45.79	11.90
טי	1571	25.76	47.05	8.06
מדברה	1572	25.73	43.79	15.48
התכונן	1573	25.71	43.46	15.29
הל	1574	25.71	44.64	12.68
וקחים	1575	25.70	43.33	15.68
ראשון	1576	25.69	43.92	13.64
פיט	1577	25.66	48.27	5.38
לאורך	1578	25.65	43.54	14.45
תביעה	1579	25.63	45.97	9.33
הס	1580	25.60	45.22	11.20
בעד	1581	25.59	43.88	14.36
גרמני	1582	25.58	47.77	5.61
ציבור	1583	25.58	44.07	12.98
בתחה	1584	25.57	43.82	13.60
כיס	1585	25.53	43.71	14.03
השתתף	1586	25.53	43.73	14.08
נסה	1587	25.51	43.66	14.31
התחמק	1588	25.50	43.38	15.11
ענקי	1589	25.48	43.61	14.55
לצד	1590	25.48	43.29	14.86
שאבא	1591	25.46	43.79	14.37
נשלח	1592	25.44	43.28	15.02
מתח	1593	25.44	43.22	14.78
הפתיע	1594	25.42	42.85	15.82
שמ	1595	25.37	42.57	16.06
מדע	1596	25.34	44.74	11.65
אנס	1597	25.31	43.73	13.25
נמלט	1598	25.28	44.22	12.98
יכולתי	1599	25.28	42.65	15.52
שניה	1600	25.26	43.85	12.84
קוד	1601	25.21	44.53	11.54
מרטין	1602	25.19	46.91	6.13
אפס	1603	25.19	43.95	12.07
סודי	1604	25.11	43.31	13.84
דבק	1605	25.10	43.31	13.61
הבלש	1606	25.05	45.45	9.02
אלן	1607	25.04	46.42	6.72
מערב	1608	25.03	43.63	12.30
בעיקר	1609	24.99	42.29	15.41
בריאן	1610	24.99	47.73	4.27
וויל	1611	24.95	47.69	4.17
מומחה	1612	24.95	42.87	13.29
פרי	1613	24.95	44.25	11.09
ננס	1614	24.94	43.09	13.59
שידור	1615	24.94	44.37	10.48
הגעה	1616	24.93	42.27	15.30
אצלך	1617	24.87	42.22	14.98
חתול	1618	24.86	44.50	10.17
מטומטם	1619	24.86	42.99	12.79
לבין	1620	24.85	42.19	15.24
מוכרח	1621	24.83	44.22	11.21
ציפור	1622	24.82	43.95	11.18
סיור	1623	24.77	43.62	11.60
תובע	1624	24.74	44.91	8.29
מובן	1625	24.72	42.14	14.70
תיכנס	1626	24.70	42.68	13.24
חבילה	1627	24.65	43.19	12.00
שוחח	1628	24.61	42.66	12.88
בריאות	1629	24.61	42.67	12.67
סך	1630	24.60	42.27	13.76
בתיק	1631	24.59	42.74	12.65
החוף	1632	24.58	43.39	11.21
הטיל	1633	24.57	42.75	12.54
תואר	1634	24.57	42.21	13.14
עונש	1635	24.49	42.45	13.04
מציאות	1636	24.48	42.36	12.81
הגע	1637	24.45	41.33	15.53
שתעשה	1638	24.44	41.36	15.56
קלייר	1639	24.37	46.90	3.79
כפול	1640	24.36	41.67	14.20
וולטר	1641	24.35	46.79	3.42
אבד	1642	24.35	41.56	14.60
השתגע	1643	24.33	41.44	14.51
ההרוג	1644	24.30	42.32	13.27
הבא	1645	24.29	41.18	15.49
עסקי	1646	24.28	41.83	13.25
אצלי	1647	24.27	41.38	14.49
התחנן	1648	24.24	41.62	14.13
שקל	1649	24.24	41.20	14.83
נפתח	1650	24.24	41.35	14.48
היתן	1651	24.17	41.20	14.66
דרגה	1652	24.15	41.67	13.05
חיובי	1653	24.14	41.50	14.03
החך	1654	24.13	40.89	14.95
רומן	1655	24.13	43.19	9.80
יף	1656	24.09	40.98	14.28
שאמרתי	1657	24.09	40.72	15.39
חוש	1658	24.05	41.32	13.97
ניסוי	1659	24.05	43.55	9.21
הקרב	1660	24.03	42.87	10.69
מזג	1661	24.03	41.74	12.43
להקה	1662	24.03	43.74	8.56
וי	1663	23.99	42.57	10.52
הצלה	1664	23.99	41.70	13.58
הגיב	1665	23.99	41.09	14.12
פספס	1666	23.98	40.98	14.73
לשום	1667	23.98	40.65	15.48
הב	1668	23.93	41.81	12.31
הרשים	1669	23.91	40.73	14.79
מקצועי	1670	23.88	40.94	13.78
פגיעה	1671	23.87	41.48	12.93
יקיר	1672	23.86	41.91	11.52
תזדיין	1673	23.84	42.59	9.24
סירב	1674	23.79	40.70	14.22
הרכבה	1675	23.75	42.77	9.01
כועס	1676	23.72	40.80	14.14
נטש	1677	23.69	41.13	13.54
פוני	1678	23.67	40.93	13.09
ארגון	1679	23.66	41.89	10.75
הלבן	1680	23.66	42.13	9.96
השינה	1681	23.64	40.89	13.47
פושע	1682	23.64	41.39	11.81
מושב	1683	23.64	40.98	12.72
יתרון	1684	23.62	40.98	13.17
פוצץ	1685	23.58	41.14	12.42
קבוע	1686	23.57	40.24	14.29
משמרת	1687	23.54	41.41	12.21
נח	1688	23.53	40.65	13.67
נכשל	1689	23.49	40.75	13.35
חצר	1690	23.48	41.27	11.93
סוכנות	1691	23.43	42.22	9.31
אמנות	1692	23.43	42.01	9.55
שנית	1693	23.42	40.01	14.34
אשתך	1694	23.38	40.79	12.51
אד	1695	23.32	43.11	6.95
הבחין	1696	23.31	39.96	14.07
זיהוי	1697	23.29	41.17	11.58
תרגום	1698	23.29	41.54	11.51
שרה	1699	23.27	43.69	5.73
פעילות	1700	23.20	40.10	13.24
אמה	1701	23.16	43.04	6.81
הצגה	1702	23.07	40.13	12.13
אנה	1703	23.06	43.95	4.28
גבינה	1704	23.05	41.12	10.64
נע	1705	23.03	39.50	13.54
פנימי	1706	23.03	39.85	13.25
צוין	1707	22.98	40.68	10.84
חוקר	1708	22.97	40.39	11.69
אלפי	1709	22.95	39.94	12.32
דייט	1710	22.95	41.58	9.68
התברר	1711	22.90	39.53	13.69
נמנע	1712	22.89	39.22	14.19
אנדי	1713	22.88	43.66	4.43
אליס	1714	22.88	43.47	4.40
כושר	1715	22.87	40.09	11.87
המציא	1716	22.87	39.27	13.67
טד	1717	22.86	43.73	4.20
אומה	1718	22.83	40.13	11.55
חולצה	1719	22.81	40.07	12.12
יצור	1720	22.79	40.87	10.49
אמרה	1721	22.78	38.86	14.54
צפייה	1722	22.74	39.25	15.56
מזוין	1723	22.70	41.68	6.97
הדליק	1724	22.70	39.28	13.19
מסכן	1725	22.70	39.13	13.50
ההולדה	1726	22.70	40.78	9.73
דיוויד	1727	22.68	42.70	5.56
הנח	1728	22.68	39.26	13.49
הסיר	1729	22.65	39.23	13.30
נתון	1730	22.63	40.35	10.62
ארגן	1731	22.60	38.83	13.62
צער	1732	22.57	38.76	14.02
רובה	1733	22.57	40.12	10.64
ציד	1734	22.54	39.91	11.31
ציין	1735	22.47	38.62	13.67
אושר	1736	22.46	39.21	12.05
קלי	1737	22.44	42.11	6.04
השתחרר	1738	22.41	38.90	12.99
מקסים	1739	22.40	38.88	12.64
לבסוף	1740	22.40	38.63	13.17
קלף	1741	22.39	39.95	10.12
המפתחות	1742	22.37	39.61	10.94
אישר	1743	22.35	38.57	13.17
טומי	1744	22.32	42.51	4.14
קולונל	1745	22.30	42.72	3.82
נאלץ	1746	22.26	38.18	13.96
אגרוף	1747	22.26	39.70	10.12
מדרגה	1748	22.24	38.86	12.02
נא	1749	22.22	39.31	10.79
למדי	1750	22.19	38.70	12.52
יצירה	1751	22.13	38.85	11.45
סדרה	1752	22.11	39.04	11.74
אשים	1753	22.11	37.91	14.36
התפלל	1754	22.11	39.02	10.96
לשון	1755	22.10	38.48	12.53
יתכן	1756	22.08	39.71	9.92
יקירי	1757	22.08	39.44	9.60
שוד	1758	22.08	40.11	8.53
העיר	1759	22.06	38.06	13.36
משהה	1760	22.05	37.60	14.64
השתלט	1761	22.05	38.35	12.90
צייר	1762	22.04	39.34	10.14
צרפתי	1763	21.99	39.70	8.61
קילומטר	1764	21.97	39.04	10.75
חיל	1765	21.95	39.03	10.25
ניק	1766	21.93	40.81	6.59
תל	1767	21.89	38.73	11.02
חברתי	1768	21.88	38.05	12.60
קור	1769	21.87	37.99	12.80
חתון	1770	21.86	38.48	11.51
הזין	1771	21.85	39.16	9.33
נאמן	1772	21.84	38.05	12.30
איימי	1773	21.79	42.03	3.61
ריאן	1774	21.78	41.99	3.40
טבעת	1775	21.76	38.88	10.24
כמות	1776	21.76	37.64	13.05
המיל	1777	21.76	37.70	12.94
מחסן	1778	21.76	39.22	9.75
הנחה	1779	21.74	37.55	13.28
הטבעת	1780	21.70	39.59	8.26
באתי	1781	21.68	37.39	13.82
התקפה	1782	21.66	38.81	9.90
תחילה	1783	21.62	37.32	12.85
חסך	1784	21.62	37.22	13.64
ירי	1785	21.58	38.28	10.79
עשיתי	1786	21.57	37.10	13.86
הוצאה	1787	21.56	37.55	12.15
השבט	1788	21.55	41.71	2.98
תנהג	1789	21.53	37.06	13.62
סמים	1790	21.52	38.33	10.26
מרתף	1791	21.51	38.70	10.08
שבעת	1792	21.47	37.56	12.52
בקרב	1793	21.41	37.65	11.71
פרש	1794	21.40	37.49	11.58
תמיכה	1795	21.37	37.48	11.89
תיזהר	1796	21.36	37.24	12.08
דופק	1797	21.34	37.49	11.57
תחזר	1798	21.27	37.03	12.80
הכנה	1799	21.27	36.81	13.35
גזר	1800	21.26	37.25	12.08
נתקל	1801	21.26	36.66	13.52
נשם	1802	21.20	37.09	12.06
סיכן	1803	21.19	36.72	13.47
צרה	1804	21.14	36.40	13.29
תיחזור	1805	21.14	36.65	12.92
שוכב	1806	21.12	36.71	12.82
מוחלט	1807	21.09	36.32	13.12
תסלח	1808	21.08	36.87	12.26
קץ	1809	21.07	36.12	13.72
רוק	1810	21.06	37.97	9.22
ירק	1811	21.04	38.02	8.94
העיד	1812	20.98	37.48	9.95
נורמאלי	1813	20.97	36.78	11.98
שאמרה	1814	20.96	35.99	14.08
הקלטה	1815	20.90	37.91	8.50
נקמה	1816	20.89	37.16	11.20
סכום	1817	20.88	36.61	11.24
מורד	1818	20.88	37.07	10.62
השתין	1819	20.85	36.80	11.20
יחידי	1820	20.82	36.75	11.56
ותיק	1821	20.80	36.18	12.41
ארוח	1822	20.80	36.00	13.07
קונה	1823	20.79	37.12	10.22
מגדל	1824	20.79	37.44	9.23
מאמץ	1825	20.79	35.93	12.77
קילוגרם	1826	20.77	36.96	10.32
תמצא	1827	20.76	35.95	13.30
מקורי	1828	20.74	36.29	12.08
שיתף	1829	20.74	36.07	12.76
ציבורי	1830	20.73	36.23	11.75
דייב	1831	20.72	39.44	4.25
עדין	1832	20.72	37.03	9.99
מותר	1833	20.71	35.97	12.52
פריז	1834	20.70	38.23	6.61
התפוצץ	1835	20.69	36.33	11.68
דיבור	1836	20.66	35.82	12.63
ריח	1837	20.66	36.34	12.05
הביע	1838	20.66	35.78	13.04
נאום	1839	20.65	36.91	9.66
לורד	1840	20.63	39.56	3.73
שמעתי	1841	20.57	35.50	13.72
מעקב	1842	20.57	36.71	10.66
תחשב	1843	20.56	35.68	13.14
שהרג	1844	20.55	36.30	12.02
חמישי	1845	20.54	36.31	10.73
קרטר	1846	20.52	39.58	3.23
ז	1847	20.51	37.77	7.20
זול	1848	20.49	35.74	12.16
צופה	1849	20.46	35.79	12.04
מפעל	1850	20.44	37.11	8.42
טירוף	1851	20.43	35.75	12.32
הרחיק	1852	20.43	35.52	12.93
שתה	1853	20.41	35.57	12.34
בילי	1854	20.40	38.56	4.82
האנק	1855	20.38	39.60	2.73
הודאג	1856	20.37	35.38	12.87
אשה	1857	20.37	35.48	12.46
הקרא	1858	20.36	35.15	12.66
רעל	1859	20.33	36.80	9.09
אלימות	1860	20.32	36.00	11.02
דווקא	1861	20.31	35.44	12.24
טכנולוגיה	1862	20.31	36.98	8.82
האשמה	1863	20.30	35.60	11.62
הכר	1864	20.29	35.29	12.73
איף	1865	20.27	35.13	12.95
רביעי	1866	20.25	35.72	10.94
כשזה	1867	20.25	34.95	13.56
לוס	1868	20.24	36.76	8.23
הוכחה	1869	20.23	35.57	11.58
מגע	1870	20.22	35.52	11.80
החלט	1871	20.17	34.92	13.18
תאריך	1872	20.16	35.59	11.03
ברכה	1873	20.16	35.46	11.62
מצוות	1874	20.15	36.71	9.83
טעים	1875	20.14	35.41	12.00
שריף	1876	20.13	37.91	5.77
הערכה	1877	20.12	35.37	11.43
המזוין	1878	20.12	37.04	6.43
פתרון	1879	20.10	35.35	11.54
גופה	1880	20.09	35.64	11.19
שקרן	1881	20.07	35.25	11.49
הסוס	1882	20.07	36.85	7.54
אווה	1883	20.06	37.24	6.56
שרצה	1884	20.05	34.55	13.46
מזדיין	1885	20.05	36.78	6.94
בשבילו	1886	20.04	34.67	12.91
תמורה	1887	20.03	35.06	12.39
שיט	1888	20.02	36.82	7.15
בריטי	1889	19.96	36.71	7.11
אממ	1890	19.93	36.62	7.75
אמך	1891	19.90	35.81	10.03
שארית	1892	19.88	34.63	12.74
נוסע	1893	19.88	35.31	10.54
התקף	1894	19.86	35.44	10.07
מפקח	1895	19.86	37.17	5.60
מצד	1896	19.85	34.53	12.25
שבי	1897	19.85	34.71	12.04
חילק	1898	19.82	34.32	13.28
בירר	1899	19.77	34.53	12.45
אכזרי	1900	19.76	34.53	12.27
אמצעי	1901	19.76	34.55	12.10
נכס	1902	19.75	35.27	10.25
קרח	1903	19.70	35.29	9.91
מנוחה	1904	19.70	34.51	12.07
פרויקט	1905	19.70	35.78	8.76
רחמים	1906	19.69	34.80	11.22
הסבר	1907	19.67	34.54	12.00
כיסוי	1908	19.64	34.76	11.08
שיכור	1909	19.62	34.60	11.00
מרכזי	1910	19.61	34.58	10.96
סנטה	1911	19.61	36.80	5.51
אליסון	1912	19.60	37.78	3.56
מעגל	1913	19.56	35.16	9.83
פלילי	1914	19.51	34.72	10.37
הרגיע	1915	19.45	33.97	12.36
מגן	1916	19.44	34.92	9.88
קהילה	1917	19.41	34.64	9.85
עזרתך	1918	19.41	34.13	12.55
נמשיך	1919	19.40	33.74	12.66
אוה	1920	19.39	37.63	2.52
בתא	1921	19.37	34.21	11.24
קני	1922	19.36	35.98	6.70
פלא	1923	19.34	33.78	12.25
עוגה	1924	19.34	34.97	9.37
השעון	1925	19.31	34.65	9.54
לחם	1926	19.29	34.35	10.36
מסובך	1927	19.28	33.76	12.11
מבנה	1928	19.27	34.24	10.59
התגבר	1929	19.27	33.81	12.18
גרון	1930	19.27	34.24	10.68
נמל	1931	19.26	34.82	8.97
תחתית	1932	19.25	34.08	10.83
הסדר	1933	19.20	33.78	11.20
הדהים	1934	19.20	33.55	12.06
הצלם	1935	19.20	34.44	9.56
נגן	1936	19.19	34.53	9.11
אקבל	1937	19.18	33.31	12.73
שראה	1938	19.15	33.35	12.71
לילי	1939	19.15	36.47	4.80
בוגר	1940	19.14	33.70	11.50
מגוחך	1941	19.14	33.39	12.20
לניק	1942	19.10	36.63	3.93
למשל	1943	19.10	33.42	11.64
שתלך	1944	19.07	33.18	12.67
נבחר	1945	19.06	34.02	10.09
גלגל	1946	19.05	33.88	10.40
שלילי	1947	19.02	33.81	10.62
אחריך	1948	19.01	33.27	12.10
מראש	1949	19.00	33.13	12.01
הובן	1950	19.00	33.44	11.73
היכנס	1951	18.97	33.48	11.16
חכי	1952	18.92	34.12	9.43
הבן	1953	18.92	32.91	12.30
הטורף	1954	18.87	33.28	11.51
שהיה	1955	18.86	32.77	12.90
מביך	1956	18.86	33.17	11.70
נשום	1957	18.85	33.30	11.00
רגיש	1958	18.83	32.99	12.00
בשל	1959	18.77	32.98	11.41
ועדה	1960	18.76	34.28	7.52
שולח	1961	18.75	32.72	12.11
גורם	1962	18.74	33.02	11.21
ואבא	1963	18.73	33.14	11.09
דור	1964	18.71	33.33	10.12
מסדרון	1965	18.71	33.23	11.06
תבין	1966	18.70	32.76	11.80
אירי	1967	18.69	33.34	10.27
סטיבן	1968	18.66	35.37	5.03
קיי	1969	18.66	35.28	4.64
העברה	1970	18.64	33.10	10.63
ארצה	1971	18.63	32.94	11.28
מאבק	1972	18.60	33.05	10.55
אבוד	1973	18.60	33.00	11.01
תעודה	1974	18.59	33.20	10.05
בוב	1975	18.59	34.03	7.78
הקשב	1976	18.56	32.97	10.44
צרפת	1977	18.52	34.33	6.12
ציר	1978	18.51	33.23	9.52
כללי	1979	18.50	32.79	10.23
סיטי	1980	18.47	34.21	6.60
תועלת	1981	18.47	32.58	11.54
היווה	1982	18.46	32.59	11.16
ליסה	1983	18.43	35.48	3.82
עזור	1984	18.42	33.05	9.91
טייס	1985	18.41	34.25	6.34
הון	1986	18.41	32.78	9.85
ייצג	1987	18.40	32.61	10.26
שנתי	1988	18.37	32.13	11.93
השגיח	1989	18.35	32.55	11.22
עבה	1990	18.34	32.33	11.50
ריקוד	1991	18.33	33.09	8.91
בחי	1992	18.32	32.46	10.76
חולה	1993	18.31	32.69	10.11
שיכולתי	1994	18.30	31.97	12.45
פתיחה	1995	18.29	32.44	10.47
אנגלית	1996	18.27	32.54	10.18
שתגיד	1997	18.27	31.90	12.09
שתרצה	1998	18.25	31.90	12.25
שנ	1999	18.24	31.84	12.15
אמבולנס	2000	18.22	33.05	8.84
איזור	2001	18.19	33.05	8.72
אמילי	2002	18.18	34.91	3.70
חפץ	2003	18.15	32.79	9.35
רושם	2004	18.12	31.86	11.25
משאית	2005	18.12	32.84	8.82
חזור	2006	18.11	32.24	10.18
התח	2007	18.11	32.02	10.56
מלח	2008	18.07	32.65	9.11
נשף	2009	18.07	33.44	6.70
מבקר	2010	18.06	32.30	9.89
צמח	2011	18.05	32.98	8.08
השלים	2012	18.05	31.73	11.76
נועד	2013	18.03	31.88	11.34
יתר	2014	18.03	31.67	11.68
ויליאם	2015	18.03	33.70	5.70
שהיית	2016	18.03	31.56	12.10
המזדיין	2017	18.02	33.48	6.04
ביתי	2018	18.02	31.83	11.06
רודף	2019	18.01	31.86	11.22
סנאט	2020	18.01	32.77	7.94
רפואה	2021	18.00	32.72	8.68
לעבר	2022	17.99	31.87	10.68
איבוד	2023	17.99	31.86	11.00
לירה	2024	17.98	32.14	9.79
מרגישה	2025	17.96	31.79	11.46
נסגר	2026	17.94	31.89	10.82
מדויק	2027	17.94	31.62	11.31
צפוי	2028	17.93	31.48	11.58
שנשאר	2029	17.93	31.44	12.18
שבט	2030	17.91	34.16	4.24
טוני	2031	17.89	33.95	4.55
שלישית	2032	17.88	31.57	10.98
הסתלק	2033	17.88	31.83	10.29
חה	2034	17.86	33.35	6.01
פורסם	2035	17.86	31.47	10.69
עוש	2036	17.84	31.34	11.66
פצצה	2037	17.84	32.47	8.22
שחזר	2038	17.83	31.48	11.76
מכון	2039	17.82	32.27	8.77
נזכר	2040	17.82	31.53	11.32
סקסי	2041	17.80	32.07	9.44
מאת	2042	17.80	31.59	10.40
חסל	2043	17.78	31.92	10.10
מכללה	2044	17.74	32.39	7.98
מודע	2045	17.74	31.33	10.90
ספירה	2046	17.73	32.03	9.05
הסוד	2047	17.68	31.58	10.55
עתיק	2048	17.67	31.86	9.52
אוסף	2049	17.67	31.14	11.37
רומנטי	2050	17.67	31.67	10.01
הליכה	2051	17.63	31.33	10.68
עיקרון	2052	17.63	31.10	10.70
וק	2053	17.61	33.41	4.85
לאבא	2054	17.60	31.19	10.99
דחף	2055	17.56	31.05	10.81
ודאות	2056	17.56	31.08	11.13
חוט	2057	17.54	31.42	10.06
שאב	2058	17.54	31.16	10.89
התאהב	2059	17.52	31.19	10.01
נשבר	2060	17.52	30.90	11.15
הורס	2061	17.50	30.81	11.58
מכוער	2062	17.49	31.09	10.42
הולד	2063	17.46	32.01	7.78
לכבוד	2064	17.45	30.89	10.84
ערובה	2065	17.45	32.55	6.33
שלושים	2066	17.44	31.32	9.09
אנגליה	2067	17.44	32.31	6.22
התחרה	2068	17.43	31.46	8.82
הקים	2069	17.43	30.76	11.03
זורק	2070	17.42	30.74	11.09
נדרש	2071	17.41	30.83	11.11
אתי	2072	17.41	32.32	6.35
ניצל	2073	17.40	30.70	11.48
שהה	2074	17.40	30.71	11.07
יקח	2075	17.38	31.01	10.32
שאלך	2076	17.38	30.71	11.64
ישיר	2077	17.36	30.66	10.87
אלוף	2078	17.35	32.06	6.37
ארתור	2079	17.34	33.39	3.22
ברכב	2080	17.33	31.24	9.38
עסוק	2081	17.32	30.49	11.53
מכדי	2082	17.32	30.56	11.34
מטבע	2083	17.30	31.57	8.04
בוגד	2084	17.28	31.14	9.44
הימור	2085	17.28	31.67	7.48
כישרון	2086	17.28	30.70	10.11
שדרה	2087	17.26	31.13	9.10
סערה	2088	17.26	31.35	8.45
תאהב	2089	17.23	30.39	11.19
הדאג	2090	17.21	30.14	11.50
לורה	2091	17.20	33.19	3.20
אמון	2092	17.17	30.67	10.05
דיון	2093	17.16	30.81	9.12
טון	2094	17.16	30.92	9.15
בל	2095	17.16	31.76	6.62
דוק	2096	17.16	32.33	5.46
בטוחה	2097	17.15	30.34	11.60
תוריד	2098	17.10	30.63	9.73
פרופיל	2099	17.10	30.98	9.00
מקלחת	2100	17.10	30.80	9.65
סירה	2101	17.09	31.32	7.67
חלף	2102	17.07	30.30	10.58
הטפל	2103	17.06	30.10	11.22
החולצה	2104	17.04	30.70	9.54
מרק	2105	17.04	31.15	8.11
גאון	2106	17.03	30.32	10.09
התאבדות	2107	17.03	30.95	8.56
משמר	2108	17.00	31.08	8.02
תינוקה	2109	17.00	30.81	9.11
תעזב	2110	16.99	30.38	10.15
מפגש	2111	16.99	30.47	9.77
הגוחך	2112	16.98	29.90	11.31
התאמן	2113	16.98	30.42	9.78
מגעיל	2114	16.97	30.15	10.58
הזז	2115	16.96	30.11	10.65
עיתונאי	2116	16.96	30.98	7.28
חמישים	2117	16.96	30.47	9.07
זרוע	2118	16.95	30.31	9.84
נדיר	2119	16.94	30.03	10.67
תפסת	2120	16.94	30.25	10.04
לראשונה	2121	16.94	29.80	11.22
האכיל	2122	16.92	30.17	10.44
התבייש	2123	16.91	30.04	10.32
הפצצה	2124	16.91	31.80	5.31
רומא	2125	16.85	32.25	3.70
סטודנט	2126	16.84	30.67	7.79
זעם	2127	16.83	30.27	9.61
קשור	2128	16.82	29.71	11.27
פצע	2129	16.82	30.25	9.84
ארור	2130	16.80	30.09	9.53
קינג	2131	16.80	31.25	6.04
השמיד	2132	16.75	30.56	8.86
ערוץ	2133	16.75	30.36	8.89
יהלום	2134	16.74	31.32	5.62
אזעקה	2135	16.73	30.66	8.04
שעשיתי	2136	16.71	29.49	11.48
אוון	2137	16.71	32.54	2.38
גידול	2138	16.68	30.99	6.73
צלצל	2139	16.66	30.06	8.60
אדאג	2140	16.66	29.45	11.07
נוצר	2141	16.66	29.86	9.79
אנני	2142	16.65	32.29	2.79
טיפה	2143	16.64	29.69	10.18
מסך	2144	16.62	29.73	9.62
עוצמה	2145	16.60	29.78	9.68
תרצ	2146	16.59	29.51	10.90
התעקש	2147	16.59	29.25	10.98
סיעה	2148	16.59	29.38	10.67
מיץ	2149	16.57	30.59	7.16
קארל	2150	16.56	31.75	3.80
כיסה	2151	16.52	29.22	11.07
גרייס	2152	16.51	31.81	3.35
לעצמך	2153	16.48	28.96	11.45
משה	2154	16.47	29.84	8.58
בום	2155	16.46	30.15	7.65
נוף	2156	16.41	29.44	9.51
מהנה	2157	16.41	29.31	12.18
שעון	2158	16.36	29.53	8.93
מלכודת	2159	16.36	29.68	9.19
מוצר	2160	16.34	29.88	7.77
פרד	2161	16.33	31.00	4.35
נלקח	2162	16.33	29.10	10.38
סוזן	2163	16.33	31.32	3.57
תעשה	2164	16.32	28.89	10.67
גובה	2165	16.30	29.30	9.26
סחר	2166	16.28	29.65	8.29
מחזור	2167	16.27	29.66	8.31
נשיקה	2168	16.26	29.31	8.93
משקר	2169	16.25	29.00	10.30
מישל	2170	16.25	31.28	3.45
פיתח	2171	16.25	28.89	10.48
תחתון	2172	16.23	29.31	9.16
ורבותיי	2173	16.23	29.26	8.44
עונג	2174	16.23	28.87	10.16
נחת	2175	16.22	29.34	8.72
אגדה	2176	16.21	29.50	8.34
התחבא	2177	16.20	29.05	10.00
הארור	2178	16.20	28.98	9.78
יקירתי	2179	16.17	29.32	8.30
